,,"uint8 (K,N)->(4K,4N) for FHE & ZKP kernels",,,4x4 FEATHER,8x8 FEATHER,16x16 FEATHER
,,M,K,N,,,
FHE,Bootstrapping BConv,65536,40,88,,,
,,65536,40,92,,,
,,65536,40,84,,,
,,65536,40,120,,,
,,65536,40,116,,,
,,65536,44,100,,,
,,65536,44,96,,,
,,65536,44,128,,,
,,65536,44,104,,,
,,65536,44,136,,,
,,65536,44,132,,,
,,65536,48,112,,,
,,65536,48,108,,,
,,65536,48,140,,,
,,65536,48,132,,,
,,65536,48,148,,,
,,65536,48,144,,,
,,65536,52,124,,,
,,65536,52,120,,,
,,65536,52,152,,,
,,65536,52,128,,,
,,65536,52,160,,,
,,65536,52,156,,,
,,65536,56,136,,,
,,65536,56,132,,,
,,65536,60,144,,,
,,65536,56,140,,,
,,65536,60,152,,,
,,65536,60,148,,,
,,65536,28,84,,,
,,65536,28,80,,,
,,65536,32,92,,,
,,65536,28,88,,,
,,65536,32,100,,,
,,65536,32,96,,,
,,65536,36,76,,,
,,65536,36,72,,,
,,65536,36,104,,,
,,65536,36,80,,,
,,65536,36,112,,,
,,65536,36,108,,,
,NTT,64,1024,1024,,,
,,64,2048,2048,,,
,,128,2048,2048,,,
,,128,4096,4096,,,
,,256,4096,4096,,,
ChatGPT OSS,Q:,256,2880,4096,,,
,fused QKV:,256,2880,5120,,,
,attn out:,256,4096,2880,,,
,scores per group,256,64,2048,,,
