Category,Subcategory,M,K,N,FLOPs,Naive_Mean_ms,Naive_Min_ms,Naive_Max_ms,Naive_Std_ms,Naive_TFLOPS,Tiled_Mean_ms,Tiled_Min_ms,Tiled_Max_ms,Tiled_Std_ms,Tiled_TFLOPS,Optimized_Mean_ms,Optimized_Min_ms,Optimized_Max_ms,Optimized_Std_ms,Optimized_TFLOPS,Vectorized_Mean_ms,Vectorized_Min_ms,Vectorized_Max_ms,Vectorized_Std_ms,Vectorized_TFLOPS,Best_Kernel,Best_Mean_ms,Best_TFLOPS
FHE,Bootstrapping BConv,65536,40,88,461373440,0.0840,0.0839,0.0840,0.0000,5.4950,0.0943,0.0942,0.0943,0.0000,4.8949,0.0589,0.0587,0.0593,0.0002,7.8315,0.0631,0.0630,0.0632,0.0001,7.3098,Optimized,0.0589,7.8315
FHE,Bootstrapping BConv,65536,40,92,482344960,0.0840,0.0839,0.0840,0.0000,5.7444,0.0943,0.0943,0.0943,0.0000,5.1157,0.0636,0.0636,0.0637,0.0000,7.5807,0.0677,0.0675,0.0679,0.0001,7.1279,Optimized,0.0636,7.5807
FHE,Bootstrapping BConv,65536,40,84,440401920,0.0840,0.0839,0.0841,0.0001,5.2443,0.0943,0.0943,0.0943,0.0000,4.6720,0.0560,0.0559,0.0562,0.0001,7.8669,0.0609,0.0608,0.0611,0.0001,7.2291,Optimized,0.0560,7.8669
FHE,Bootstrapping BConv,65536,40,120,629145600,0.1106,0.1106,0.1107,0.0001,5.6882,0.1250,0.1250,0.1250,0.0000,5.0342,0.0837,0.0834,0.0838,0.0001,7.5212,0.0863,0.0862,0.0864,0.0001,7.2919,Optimized,0.0837,7.5212
FHE,Bootstrapping BConv,65536,40,116,608174080,0.1106,0.1106,0.1107,0.0001,5.4987,0.1250,0.1250,0.1250,0.0000,4.8664,0.0801,0.0799,0.0802,0.0001,7.5932,0.0837,0.0835,0.0839,0.0001,7.2679,Optimized,0.0801,7.5932
FHE,Bootstrapping BConv,65536,44,100,576716800,0.1191,0.1188,0.1198,0.0004,4.8435,0.1250,0.1250,0.1250,0.0000,4.6144,0.0729,0.0728,0.0730,0.0001,7.9144,0.0738,0.0738,0.0740,0.0001,7.8101,Optimized,0.0729,7.9144
FHE,Bootstrapping BConv,65536,44,96,553648128,0.0902,0.0902,0.0906,0.0002,6.1350,0.0943,0.0942,0.0943,0.0000,5.8741,0.0636,0.0636,0.0638,0.0001,8.6990,0.0656,0.0656,0.0657,0.0000,8.4396,Optimized,0.0636,8.6990
FHE,Bootstrapping BConv,65536,44,128,738197504,0.1196,0.1188,0.1210,0.0008,6.1745,0.1257,0.1250,0.1269,0.0009,5.8708,0.0871,0.0869,0.0875,0.0002,8.4757,0.0904,0.0902,0.0906,0.0001,8.1700,Optimized,0.0871,8.4757
FHE,Bootstrapping BConv,65536,44,104,599785472,0.1193,0.1188,0.1206,0.0007,5.0287,0.1250,0.1250,0.1250,0.0000,4.7992,0.0762,0.0761,0.0764,0.0001,7.8697,0.0780,0.0779,0.0780,0.0000,7.6914,Optimized,0.0762,7.8697
FHE,Bootstrapping BConv,65536,44,136,784334848,0.1494,0.1492,0.1495,0.0001,5.2500,0.1557,0.1556,0.1558,0.0000,5.0370,0.1025,0.1022,0.1027,0.0002,7.6549,0.1012,0.1010,0.1015,0.0002,7.7535,Vectorized,0.1012,7.7535
