operation_name,category,operation,M,K,N,Sharding_Strategy,num_devices,Latency_us,Latency_ms
matmul_FHE_Bootstrapping_BConv_M65536_K40_N88_shard_M,FHE,Bootstrapping BConv,65536,40,88,shard_M,8,29.9125,0.0299125
matmul_FHE_Bootstrapping_BConv_M65536_K40_N88_shard_N,FHE,Bootstrapping BConv,65536,40,88,shard_N,8,25.5725,0.0255725
matmul_FHE_Bootstrapping_BConv_M65536_K40_N88_shard_MN,FHE,Bootstrapping BConv,65536,40,88,shard_MN,8,28.793672,0.028793672
matmul_FHE_Bootstrapping_BConv_M65536_K40_N92_shard_M,FHE,Bootstrapping BConv,65536,40,92,shard_M,8,73.735,0.073735
matmul_FHE_Bootstrapping_BConv_M65536_K40_N92_shard_MN,FHE,Bootstrapping BConv,65536,40,92,shard_MN,8,93.706328,0.093706328
matmul_FHE_Bootstrapping_BConv_M65536_K40_N84_shard_M,FHE,Bootstrapping BConv,65536,40,84,shard_M,8,53.663906,0.053663906
matmul_FHE_Bootstrapping_BConv_M65536_K40_N84_shard_MN,FHE,Bootstrapping BConv,65536,40,84,shard_MN,8,93.506328,0.093506328
matmul_FHE_Bootstrapping_BConv_M65536_K40_N120_shard_M,FHE,Bootstrapping BConv,65536,40,120,shard_M,8,39.17,0.03917
matmul_FHE_Bootstrapping_BConv_M65536_K40_N120_shard_N,FHE,Bootstrapping BConv,65536,40,120,shard_N,8,85.628672,0.08562867199999999
matmul_FHE_Bootstrapping_BConv_M65536_K40_N120_shard_MN,FHE,Bootstrapping BConv,65536,40,120,shard_MN,8,89.393594,0.08939359399999999
matmul_FHE_Bootstrapping_BConv_M65536_K40_N116_shard_M,FHE,Bootstrapping BConv,65536,40,116,shard_M,8,93.225078,0.093225078
matmul_FHE_Bootstrapping_BConv_M65536_K40_N116_shard_MN,FHE,Bootstrapping BConv,65536,40,116,shard_MN,8,116.658672,0.11665867199999999
matmul_FHE_Bootstrapping_BConv_M65536_K44_N100_shard_M,FHE,Bootstrapping BConv,65536,44,100,shard_M,8,101.3825,0.10138249999999999
matmul_FHE_Bootstrapping_BConv_M65536_K44_N100_shard_MN,FHE,Bootstrapping BConv,65536,44,100,shard_MN,8,72.26375,0.07226375
matmul_FHE_Bootstrapping_BConv_M65536_K44_N96_shard_M,FHE,Bootstrapping BConv,65536,44,96,shard_M,8,68.419922,0.068419922
matmul_FHE_Bootstrapping_BConv_M65536_K44_N96_shard_N,FHE,Bootstrapping BConv,65536,44,96,shard_N,8,92.545078,0.092545078
matmul_FHE_Bootstrapping_BConv_M65536_K44_N96_shard_MN,FHE,Bootstrapping BConv,65536,44,96,shard_MN,8,67.858828,0.067858828
matmul_FHE_Bootstrapping_BConv_M65536_K44_N128_shard_M,FHE,Bootstrapping BConv,65536,44,128,shard_M,8,22.567578,0.022567578
matmul_FHE_Bootstrapping_BConv_M65536_K44_N128_shard_N,FHE,Bootstrapping BConv,65536,44,128,shard_N,8,88.283828,0.088283828
matmul_FHE_Bootstrapping_BConv_M65536_K44_N128_shard_MN,FHE,Bootstrapping BConv,65536,44,128,shard_MN,8,58.443672,0.058443672
matmul_FHE_Bootstrapping_BConv_M65536_K44_N104_shard_M,FHE,Bootstrapping BConv,65536,44,104,shard_M,8,97.10375,0.09710375
matmul_FHE_Bootstrapping_BConv_M65536_K44_N104_shard_N,FHE,Bootstrapping BConv,65536,44,104,shard_N,8,69.76375,0.06976375
matmul_FHE_Bootstrapping_BConv_M65536_K44_N104_shard_MN,FHE,Bootstrapping BConv,65536,44,104,shard_MN,8,120.94,0.12093999999999999
matmul_FHE_Bootstrapping_BConv_M65536_K44_N136_shard_M,FHE,Bootstrapping BConv,65536,44,136,shard_M,8,20.770078,0.020770078
matmul_FHE_Bootstrapping_BConv_M65536_K44_N136_shard_N,FHE,Bootstrapping BConv,65536,44,136,shard_N,8,40.763906,0.040763905999999996
matmul_FHE_Bootstrapping_BConv_M65536_K44_N136_shard_MN,FHE,Bootstrapping BConv,65536,44,136,shard_MN,8,15.215,0.015215
matmul_FHE_Bootstrapping_BConv_M65536_K44_N132_shard_M,FHE,Bootstrapping BConv,65536,44,132,shard_M,8,16.651172,0.016651172
matmul_FHE_Bootstrapping_BConv_M65536_K44_N132_shard_MN,FHE,Bootstrapping BConv,65536,44,132,shard_MN,8,54.04,0.05404
matmul_FHE_Bootstrapping_BConv_M65536_K48_N112_shard_M,FHE,Bootstrapping BConv,65536,48,112,shard_M,8,70.355156,0.07035515599999999
matmul_FHE_Bootstrapping_BConv_M65536_K48_N112_shard_N,FHE,Bootstrapping BConv,65536,48,112,shard_N,8,81.562422,0.081562422
matmul_FHE_Bootstrapping_BConv_M65536_K48_N112_shard_MN,FHE,Bootstrapping BConv,65536,48,112,shard_MN,8,29.43125,0.02943125
matmul_FHE_Bootstrapping_BConv_M65536_K48_N108_shard_M,FHE,Bootstrapping BConv,65536,48,108,shard_M,8,77.903906,0.07790390600000001
matmul_FHE_Bootstrapping_BConv_M65536_K48_N108_shard_MN,FHE,Bootstrapping BConv,65536,48,108,shard_MN,8,100.607422,0.100607422
matmul_FHE_Bootstrapping_BConv_M65536_K48_N140_shard_M,FHE,Bootstrapping BConv,65536,48,140,shard_M,8,8.2725,0.0082725
matmul_FHE_Bootstrapping_BConv_M65536_K48_N140_shard_MN,FHE,Bootstrapping BConv,65536,48,140,shard_MN,8,16.082578,0.016082578
matmul_FHE_Bootstrapping_BConv_M65536_K48_N132_shard_M,FHE,Bootstrapping BConv,65536,48,132,shard_M,8,73.063828,0.073063828
matmul_FHE_Bootstrapping_BConv_M65536_K48_N132_shard_MN,FHE,Bootstrapping BConv,65536,48,132,shard_MN,8,11.35875,0.01135875
matmul_FHE_Bootstrapping_BConv_M65536_K48_N148_shard_M,FHE,Bootstrapping BConv,65536,48,148,shard_M,8,8.261172,0.008261172
matmul_FHE_Bootstrapping_BConv_M65536_K48_N148_shard_MN,FHE,Bootstrapping BConv,65536,48,148,shard_MN,8,11.29625,0.01129625
matmul_FHE_Bootstrapping_BConv_M65536_K48_N144_shard_M,FHE,Bootstrapping BConv,65536,48,144,shard_M,8,8.143828,0.008143827999999999
